ID	Original Text	Translated Text
2492	Have you ever eaten one of those dehydrated sandwiches? Theyâ€™re chewier than I wouldâ€™ve expected.	Tu as déjà mangé un de ces sandwichs déshydratés ? Ils sont plus moelleux que ce à quoi je m'attendais.
2493	I tend to keep my ExoSuit on around here. Even though the heat on this planet isnâ€™t lethal, it isnâ€™t particularly tolerable either. I prefer my ExoSuitâ€™s cooling systems to the scorching sun of a desert planet.	J'ai tendance à garder mon ExoSuit par ici. Même si la chaleur sur cette planète n'est pas mortelle, elle n'est pas particulièrement tolérable non plus. Je préfère les systèmes de refroidissement de mon ExoSuit au soleil brûlant d'une planète désertique.
2494	My family assembles and upgrades weapons for a living. Since my father passed away a few years ago, my grandfather is teaching me the trade. So far it's been tricky, but I think I'm finally getting the hang of it. Be sure to buy something from my grandfather Wallace before you leave. We have some great weapons for sale.	Ma famille assemble et améliore des armes pour gagner sa vie. Depuis que mon père est décédé il y a quelques années, mon grand-père m'apprend le métier. Jusqu'à présent, c'est difficile, mais je crois que je commence à comprendre. N'oubliez pas d'acheter quelque chose à mon grand-père Wallace avant de partir. Nous avons de superbes armes à vendre.
2495	Iâ€™ve been rematerialized in an atrium forty-nine times due to that arena. Despite all the failures, Iâ€™ve still won my fair share of games. If you can front the entrance fee, think about giving it a try. You never know how the game might turn out.	J'ai été rematérialisé dans un atrium quarante-neuf fois à cause de cette arène. Malgré tous les échecs, j'ai quand même gagné ma part de jeux. Si vous pouvez faire face au prix d'entrée, pensez à essayer. On ne sait jamais comment le jeu peut se terminer.
2496	Congratulations on your win in the arena. Iâ€™ve never seen anyone shoot like that before. Youâ€™re quite capable.	Félicitations pour votre victoire dans l'arène. Je n'ai jamais vu quelqu'un tirer comme Ã§a avant. Vous êtes tout à fait capable.
2497	The arenaâ€™s obstacles often change between rounds. If you decide to enter, be alert of whatâ€™s shifting around you. Smart contestants often use the obstacles to their advantage.	Les obstacles de l'arène changent souvent entre les rounds. Si vous décidez d'y participer, soyez attentif à ce qui se déplace autour de vous. Les concurrents intelligents utilisent souvent les obstacles à leur avantage.
2498	Not many contestants win the arena pot. Youâ€™re one of the few. Good job.	Peu de candidats gagnent le pot de l'arène. Vous êtes l'un des rares. Bon travail.
2499	Iâ€™ve considered participating in the arena, but the track record of people whoâ€™ve won doesnâ€™t leave me feeling very optimistic. Iâ€™d rather see someone win to know itâ€™s possible first. Then Iâ€™ll join.	J'ai envisagé de participer Ã l'arène, mais le palmarès des personnes qui ont gagné ne me rend pas très optimiste. Je préfère voir quelqu'un gagner pour savoir que c'est possible d'abord. Ensuite, je me joindrai à eux.
2500	Itâ€™s you! You won the arena, didnâ€™t you? Itâ€™s an honor to meet you in person! You made it look easy. I almost considered entering as a contestant myself, but I think Iâ€™ll wait to see if another winner pops up. After all, your win couldâ€™ve been a fluke, right?	C'est toi ! Vous avez gagné l'arène, n'est-ce pas ? C'est un honneur de vous rencontrer en personne ! Ca avait l'air facile pour vous. J'ai presque envisagé de m'inscrire moi-même comme candidat, mais je pense que je vais attendre de voir si un autre gagnant se présente. Après tout, votre victoire aurait pu être un coup de chance, non ?
2501	Supposedly the arena owners have an atrium thatâ€™s been tweaked to regenerate any of the creatures that fall during a game. Saves them quite a few credits Iâ€™d imagine, but Iâ€™m not sure their methods are ethically sound.	Il paraît que les propriétaires de l'arène ont un atrium qui a été modifié pour régénérer toutes les créatures qui tombent pendant un match. Ça leur fait économiser pas mal de crédits j'imagine, mais je ne suis pas sûr que leurs méthodes soient éthiques.
2502	Good job in the arena. Do you have a plan for spending those new credits of yours?	Bon travail dans l'arène. Avez-vous un plan pour dépenser vos nouveaux crédits ?
2503	It always amazes me the lengths biologicals will go in order to get themselves killed.	Je suis toujours étonné de voir jusqu'où les biologiques sont prêts à aller pour se faire tuer.
2504	So you won, did you? What a rare occurrence. Consider yourself lucky.	Alors vous avez gagné, n'est-ce pas ? Quel événement rare. Considérez-vous chanceux.
2505	Welcome to the grenade shop, my friend! Are you interested in making a purchase?	Bienvenue au magasin de grenades, mon ami ! Es-tu intéressé à faire un achat ?
2506	Iâ€™m not sure why you came to this planet, but Iâ€™m grateful for your help. Take care.	Je ne sais pas pourquoi vous êtes venu sur cette planète, mais je vous suis reconnaissant pour votre aide. Prenez soin de vous.
2507	Itâ€™s busted? Well, thatâ€™s unfortunate but not wholly unexpected. Iâ€™ll send Davorn up there to fix it later. Hereâ€™s a couple hundred credits for your trouble. Iâ€™m not sure why you came to this planet, but Iâ€™m grateful for your help. Take care.	C'est cassé ? Eh bien, c'est malheureux mais pas totalement inattendu. J'enverrai Davorn la haut pour la réparer plus tard. Voici quelques centaines de crédits pour votre peine. Je ne sais pas trop pourquoi tu es venu sur cette planète, mais je te suis reconnaissant pour ton aide. Prenez soin de vous.
2508	Have you checked the tower yet?	Avez-vous vérifié la tour ?
2509	I appreciate the assistance. Let me know what find up there.	J'apprécie votre aide. Tenez-moi au courant de ce que vous trouverez là-bas.
2510	Suit yourself. But if you arenâ€™t here to lend a hand, you should head back to your ship. We donâ€™t need any more trouble than we already have.	Comme vous voulez. Mais si vous n'êtes pas ici pour donner un coup de main, vous devriez retourner à votre vaisseau. Nous n'avons pas besoin de plus de problèmes que nous n'en avons déjÃ.
2511	You have a flight pack, correct? If youâ€™re any good with it, could you fly to the top of the station and check the comms tower for me? Weâ€™ve been having some problems with our communications array, so we need to climb up there to see what went wrong. The process would go a lot faster with your help. Plus, Iâ€™d be willing to part with a few credits in exchange for your help.	Tu as un pack de vol, n'est-ce pas ? Si vous savez vous en servir, pourriez-vous voler jusqu'au sommet de la station et vérifier la tour de communication pour moi ? Nous avons eu quelques problèmes avec notre réseau de communication, donc nous devons monter là-haut pour voir ce qui a mal tourné. Le processus serait beaucoup plus rapide avec votre aide. De plus, je serais prÃªt Ã donner quelques crédits en échange de votre aide.
2512	We really should invest in flight packs ourselves. They seem to come in handy.	Nous devrions vraiment investir dans des packs de vol nous aussi. Ils semblent être très pratiques.
2513	We arenâ€™t expecting a supply shipment for another Union-standard month. But if youâ€™re not a shipping crew, what are you doing here?	Nous n'attendons pas de livraison de fournitures avant un autre mois standard de l'Union. Mais si vous n'êtes pas une équipe d'expédition, que faites-vous ici ?
2514	This entire planet is covered in sand. Looking out at it, I sometimes feel a bit uneasy. After all, who really knows whatâ€™s out there?	Cette planète entière est couverte de sable. En la regardant, je me sens parfois un peu mal à l'aise. Après tout, qui sait vraiment ce qu'il y a là-bas ?
2515	Iâ€™ve been living on ration packs for quite a while now. Next time I go to a station, I think Iâ€™ll find some food that doesnâ€™t come in a can.	Je vis avec des rations depuis un bon moment maintenant. La prochaine fois que je vais dans une station, je pense que je vais trouver de la nourriture qui n'est pas en boîte.
2516	Thanks again for your help. I doubt youâ€™ll have a reason to come back to this planet any time soon, but youâ€™re always welcome.	Merci encore pour votre aide. Je doute que vous ayez une raison de revenir sur cette planète de sitôt, mais vous êtes toujours les bienvenus.
2517	Thank you for your help. Iâ€™ve never seen an ore like this before, but Iâ€™ll run it through the database and see if we can identify its source. Here are the 2000 credits I promised you.	Merci pour votre aide. Je n'ai jamais vu un minerai comme celui-ci auparavant, mais je vais le passer dans la base de données et voir si nous pouvons identifier sa source. Voici les 2000 crédits que je vous ai promis.
